Report generated on: 11-25-2024 12:36:05
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","energy consumption per GDP (1000 Btu/2015$ GDP PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-34-ARM-TBTUUSDPP.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","21.554136673826243","16.189708640697614","14.018610499659866","14.109307985840134","17.730467173994406","14.432219251601824","14.24995206072279","8.361281817956955","8.498278975573816","7.786270253032171","6.135102358136355","5.851660483511056","5.529066501783519","5.813846686916126","5.127207365159459","5.11393261374045","4.5981212531256705","4.680123101993151","5.021985827391409","5.082622716445027","5.137870971634815","4.900879364690785","4.871824716708613","4.313806113114641","4.317092672637839","4.324199475404086","4.033099283186585","4.0061148736961565","4.644878417449662","4.490643165137233","4.310940278976752"
"INTL.47-34-ABW-TBTUUSDPP.A","        Aruba","--","--","--","--","--","--","0","0","3.526921984342668","4.181221179810875","4.247954396008788","4.292165836874373","4.452705974438436","4.215965029505911","4.275019342086686","4.720141471225694","3.0726873003561797","4.609054917621191","4.320990368045446","4.271680383755342","4.888355224303664","5.140291524337754","5.3070487445581085","5.879086515318122","5.698565913239445","6.079167614564884","6.007444352223262","5.990319971169668","5.696783404010349","6.2313114603289925","5.856214571240722","4.5472187510534745","5.813965912845115","5.234428699782363","5.388750050554409","5.569685849229222","5.371902862597368","5.206965013608969","4.904738782166252","5.222838136030187","5.816467536715852","4.964674909123604","4.723547415558353"
"INTL.47-34-AUS-TBTUUSDPP.A","        Australia","7.929713252475695","7.756041277592328","8.12814704422401","7.826748736344675","7.44277274794398","7.385955894266514","7.334375132750916","7.366909106406726","7.263840041155647","7.36198655703794","7.056725799359413","7.047965114621025","7.024013155207807","6.915977493558303","6.715872609714848","6.742090296094119","6.796529128358491","6.656720944045605","6.618534649482486","6.502006318394566","6.362192785279593","6.252553237721499","6.215655762466272","6.070255336955721","6.031582232570014","5.96018128786697","5.880386570570604","5.8115384329547854","5.677429480176903","5.6999573004888004","5.589818218507479","5.489847034452863","5.368186836480143","5.216012725508261","5.000233180007025","4.92204556904542","4.961342636909321","4.846970604101532","4.818057455924001","4.895191246064183","4.659967213752751","4.518565917784984","4.69455261651104"
"INTL.47-34-AUT-TBTUUSDPP.A","        Austria","4.227962469797445","4.1213905466090175","3.804547744624929","3.7370175969403023","3.8966440057907286","3.85270337794467","3.670944051519325","3.5554779125061504","3.4853691902069084","3.405665036606974","3.496072780129545","3.6007415571630172","3.3705865247830595","3.3913250980955243","3.317298632548493","3.370277636179268","3.5382703595117553","3.436753071891055","3.374300773778078","3.2350038669713865","3.071561752940048","3.227143229888829","3.191675336025037","3.3550033456190356","3.3470592662606022","3.4127044531031383","3.2836467353246843","3.07968311759267","3.028939902867754","2.956231941454649","3.0606770502393377","2.859501294170423","2.8150025714355285","2.8442825275819237","2.7159985113815557","2.750425711633008","2.736879839254101","2.745815238126134","2.634159410118399","2.6645542883598137","2.616397711825143","2.645363320251011","2.331712453147066"
"INTL.47-34-AZE-TBTUUSDPP.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","22.82439819491635","25.07996724648624","28.17533479185648","30.68860455380905","26.715707306311177","25.017322737184454","19.35275324887351","18.699777202571518","15.11264857096078","12.125089897898365","13.114340208678351","12.655040459084894","12.790163163590938","10.373146390018709","7.859295789423496","5.141307730641392","4.998738261694195","4.286100989260469","4.35722429644735","4.209416143979857","4.52844296178115","4.032237455391103","4.051321073684948","4.216790931981773","4.2676502405890675","4.252785230558222","4.201859114662224","4.372211139318529","4.424690207979582","4.704844225115481","4.127272231048343"
"INTL.47-34-BHR-TBTUUSDPP.A","        Bahrain","0","0","0","0","0","0","0","0","13.225095364211633","13.493844632180576","14.124360636199956","14.231254295438857","11.178557722418342","11.815999290214625","11.672397673718628","11.272183265279029","10.855103911392279","12.394487556229546","12.410539928019716","12.213990349161074","12.27237456366462","12.392933646251986","12.794697938449717","12.576008551913807","12.17717619839925","12.794739356348892","12.822433058155886","12.156776611961677","11.982477796559287","11.56945155878989","11.20986495655121","10.875704987303138","11.263332855204359","11.882304480139235","11.287280135439989","11.110820836609673","10.70522596218234","10.560569503587413","10.47241026512224","11.239998655857557","11.692400606418687","11.617544655153312","11.070072616860397"
"INTL.47-34-BGD-TBTUUSDPP.A","        Bangladesh","0","0","0","0","0","0","0","0","1.2434422925670838","1.3141650424531537","1.199515006330986","1.2390496147172267","1.3300341719109015","1.3841560929314505","1.46690976985879","1.5383064694518305","1.5240430614340799","1.498508173171197","1.5228219360314932","1.638936108303025","1.6522257011114259","1.7223955445230084","1.7451717035778043","1.834957793950996","1.8039888036509333","1.8004612503373625","1.8202533257011242","1.7957401538837385","1.8295304588701151","1.8404933634389977","1.8346277585249995","1.8115060775004266","1.8363327037752393","1.7768798581445937","1.7928430231183314","1.8626574104044076","1.8681377868069358","1.8071099788633647","1.691824657530153","1.6981999017989051","1.5920352210862854","1.6112461451544062","1.483240097976825"
"INTL.47-34-BRB-TBTUUSDPP.A","        Barbados","0","0","0","0","0","0","0","0","4.461539941218624","4.687126391175829","5.134962786215431","5.403667859618557","6.136811355950152","5.908425870442333","5.399140589024474","5.492320988188422","4.743197196054272","5.451978552081266","5.337943796345565","5.5702028556483825","5.733002158671257","5.87551384838502","5.868627950650186","5.805165320227827","5.7672967570628675","5.590261031331676","5.3023884902560665","4.949947998595775","5.797983655968586","5.754082128805123","5.671645227211341","6.005117288935616","5.661339525226945","5.820613523606934","5.053632503226041","5.243714260410165","5.206819291134434","4.901568568248853","5.366686630297865","5.337921118417963","5.0958085884803594","4.678280605656222","4.3930895489799955"
"INTL.47-34-BLR-TBTUUSDPP.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","166.9080989745089","153.4000337080951","16.305047221959935","17.174129317974","16.711962070682855","14.875531444180988","13.442872448053688","13.438903143918235","13.8095768507175","12.354952183435358","11.347870988486116","11.102495334883475","9.26818757783318","9.523260662533781","9.233884702642081","8.24810011263777","7.578864317123978","7.041139322224973","6.955277587415195","6.803774424440916","6.7451313547317975","6.378845458158624","6.290831992292039","5.5644501664257024","5.654082747833131","5.484288942751559","5.604153741575989","5.355327705609492","5.173246779922249","5.43781075836374","5.458193437714799"
"INTL.47-34-BEL-TBTUUSDPP.A","        Belgium","7.9112012185834","7.426673226241694","6.906173528346056","6.760456514714637","6.767864104980105","6.90749979633369","7.05520263746094","7.10789760193411","6.980429058644789","6.777213148173428","6.741061765438","6.857036734678585","6.773373443318641","6.722811894085318","6.923398659984516","6.8196983067151535","7.122304093196931","6.894064306792622","6.924519176023737","6.643886679462643","6.550533096702527","6.4668389799264006","6.325047281195055","6.462832204110854","6.321891897610804","6.118177393140449","5.946832643572364","5.759735637023612","5.90920283403951","5.500579066941451","5.748937787399698","5.264719539289732","5.057370396267389","5.169978527616177","4.733600872578917","4.6903917634919665","4.919577291217345","4.854999210058639","4.796157059954217","4.693277952246749","4.444869515693431","4.627333223325218","4.112507640726775"
